reviewer,description,rating,review_date
Matt Day,,5.0,a day ago
Roxanne Pillay,,5.0,a day ago
S Potts,The people were friendly and nice. They helped me in an unexpected way.,5.0,2 days ago
Adrienne Robinson,The people were very friendly and attentive,4.0,2 days ago
Angel Thomas,,5.0,3 days ago
Bruce Williams,I Can’t Even Tell You How Thrilled I Was To Have Ms. AnnaMarie As A Car Representative. She Was Very Attentive. She Made Me Feel Like Family. This Lady Deserves A Award For Her Small Gestures and Intuitive Mannerism.,5.0,4 days ago
Sam Bonilla,Keeping up with the times of COVID. Everybody was masked and courteous.,5.0,4 days ago
Francisco Gutierrez,,5.0,5 days ago
Shawna Partington,,5.0,5 days ago
Priscilla Aguirre,Watsif provided excellent customer service! He set realistic expectations. He always informed me about each step in the process and set expectations that he far exceeded. We were going to have to wait hours and instead the car maintenance …,5.0,5 days ago
Mercedes Domingo,,5.0,9 months ago
kath ricky,,5.0,9 months ago
WFM Assistant,,5.0,9 months ago
강주원,,5.0,9 months ago
Ruchenic Malubay,,5.0,9 months ago
Azucena Ortega,,4.0,9 months ago
Rebecca Eastman,,5.0,9 months ago
Juan Barrios,,5.0,9 months ago
Joseph S,,5.0,9 months ago
Victoria Ruvalcaba,,5.0,9 months ago
Don Stewart,,5.0,7 months ago
Raj Landicho,,5.0,7 months ago
Austin Ward,Jose was great,5.0,7 months ago
Christina Chellew,,5.0,7 months ago
Michael Hsieh,,5.0,7 months ago
Ian Park,,5.0,8 months ago
ago999,"Again, last Saturday an urgent major service of a 2010 Honda Accord was done perfectly and efficiently and all personnel from the Service Counselor, Mechanics, and Cashiers involved are true Professionals. Service cost is believed to be fair.",5.0,8 months ago
meagan hornsby,,5.0,8 months ago
Tan Tran,,5.0,8 months ago
Layla Bagheroghli,"Absolutely love my 2020 Honda HRV! However, it seemed as though things were being rushed when I was making the purchase, which made things very confusing for me. I was trying to find the best deal so we discussed the 2019 and 2020 HRV, but …",4.0,8 months ago
